,game id*,date,balls*,strikes*,visiting team*,batting team*,batter_last_name,batter_first_name,res batter*,res batter hand*,pitcher_last_name,pitcher_first_name,res pitcher*,res pitcher hand*
839,BOS202107282,2021-07-28,1,2,TOR,away,Grichuk,Randal Alexander,gricr001,R,Barnes,Matthew David,barnm001,R
841,BOS202107290,2021-07-29,1,2,TOR,away,Springer,George Chelston,sprig001,R,Rodriguez,Eduardo Jose (Hernandez),rodre004,L
848,BOS202107290,2021-07-29,1,2,TOR,away,Espinal,Santiago Roman,espis001,R,Rodriguez,Eduardo Jose (Hernandez),rodre004,L
851,BOS202107290,2021-07-29,2,2,TOR,home,Bogaerts,Xander Jan,bogax001,R,Ryu,Hyun-Jin,ryu-h001,L
856,BOS202107290,2021-07-29,0,2,TOR,away,Guerrero,"Vladimir, Jr.",guerv002,R,Rodriguez,Eduardo Jose (Hernandez),rodre004,L
857,BOS202107290,2021-07-29,1,2,TOR,away,Semien,Marcus Andrew,semim001,R,Rodriguez,Eduardo Jose (Hernandez),rodre004,L
858,BOS202107290,2021-07-29,0,2,TOR,away,Bichette,Bo Joseph,bichb001,R,Rodriguez,Eduardo Jose (Hernandez),rodre004,L
862,BOS202107290,2021-07-29,2,2,TOR,home,Cordero,Franchy (Vargas),cordf003,L,Ryu,Hyun-Jin,ryu-h001,L
864,BOS202107290,2021-07-29,2,2,TOR,away,Hernandez,Teoscar Jose,hernt002,R,Rodriguez,Eduardo Jose (Hernandez),rodre004,L
866,BOS202107290,2021-07-29,1,2,TOR,away,Biggio,Cavan Thomas,biggc002,L,Rodriguez,Eduardo Jose (Hernandez),rodre004,L
869,BOS202107290,2021-07-29,1,2,TOR,home,Martinez,Julio Daniel,martj006,R,Ryu,Hyun-Jin,ryu-h001,L
871,BOS202107290,2021-07-29,1,2,TOR,away,McGuire,Reese Jackson,mcgur002,L,Rodriguez,Eduardo Jose (Hernandez),rodre004,L
888,BOS202107290,2021-07-29,2,2,TOR,home,Cordero,Franchy (Vargas),cordf003,L,Ryu,Hyun-Jin,ryu-h001,L
896,BOS202107290,2021-07-29,1,2,TOR,away,Springer,George Chelston,sprig001,R,Workman,Brandon Carlin,workb001,R
900,BOS202107290,2021-07-29,0,2,TOR,home,Martinez,Julio Daniel,martj006,R,Ryu,Hyun-Jin,ryu-h001,L
914,BOS202107290,2021-07-29,1,2,TOR,away,Springer,George Chelston,sprig001,R,Hernandez,Darwinzon David,hernd004,L
920,BOS202107290,2021-07-29,0,2,TOR,home,Verdugo,Alex Brady,verda001,L,Dolis,Rafael Jose,dolir001,R
925,BOS202107290,2021-07-29,2,2,TOR,home,Dalbec,Robert Vernon,dalbb001,R,Snead,Kirby,sneak001,L
927,BOS202107290,2021-07-29,1,2,TOR,home,Chavis,Michael Scott,chavm001,R,Snead,Kirby,sneak001,L
929,BOS202107290,2021-07-29,1,2,TOR,home,Duran,Jarren William,duraj001,L,Snead,Kirby,sneak001,L
